model,check,observed,expected,status,note
12_pam_lmm,fixed structure,fv_fm ~ treatment * wound * day * thicket + (1 | tank) + (1 |      id),treatment * wound * day * thicket,PASS,4-way fixed structure required for genet x heat x wound x time
12_pam_lmm,random structure,id+tank,tank + id,PASS,"tank for tank-level confounds, id for repeated measures on same coral"
12_pam_lmm,n observations,336,~336,INFO,"n_corals=48, days=-1,0,3,6,9,12,14"
12_pam_lmm,balance (tank x treatment),8,8,PASS,"8 unique tank x treatment cells expected (4 tanks per temp, fully nested)"
12_pam_lmm,(1|tank) sufficient?,yes — tank labels are unique across treatments,yes,PASS,tanks are uniquely IDed; no need for tank:treatment crossed term
12_pam_lmm,random slope on day?,(1|id) only — no random slope,"considered (day|id) but n=14 days, few per id; likely overfits",HANDLED,Random slope considered and intentionally omitted; expected singular/overfit with sparse per-id trajectories
12_color_lmm,fixed structure,color_num ~ treatment * wound * day * thicket + (1 | tank) +      (1 | id),treatment * wound * day * thicket,PASS,same 4-way as PAM
12_color_lmm,ordinal data on Gaussian,Gaussian LMM on D1-D5 ordinal scale,either CLMM or note in Methods,HANDLED,Addressed by 12b CLMM robustness check; KS-violation noted in Section 10
12_bw_lm,fixed structure,pct_growth ~ treatment * wound * thicket + (1 | tank),treatment * wound * thicket + (1 | tank),PASS,no day term; tank retained as treatment-assignment block
12_bw_lm,random effects,tank,tank only,PASS,coral ID omitted because each coral has one endpoint growth observation
12_bw_lm,n,48,48 (24 per temperature),PASS,Cells in design: 12 (2 trt x 2 wound x 3 genet = 12)
12_bw_lm,df residual,34,~35-36 for tank-aware 3-way model,PASS,Adequate residual df for 3-way fixed structure
12_zoox_lmm,fixed structure,log(cells_per_cm2) ~ treatment * wound * biopsy_day_c * thicket +      (1 | tank),treatment * wound * biopsy_day_c * thicket,PASS,biopsy_day_c is centered at Day 1; 4-way as for PAM
12_zoox_lmm,drop (1|id) — destructive,tank,tank only (each coral 1 biopsy),PASS,Correct — destructive sampling means each id has 1 obs
12_zoox_lmm,biopsy_day_c centering,"range = [0, 14]",0 to 14 (Day 1 = 0),PASS,Centered correctly at Day 1 baseline
12c_morph_hole_in_center_blme.rds,fixed structure,y ~ treatment * day * thicket + (1 | tank),treatment * day * thicket (wound dropped — wounded-only),PASS,"Restricted to wounded corals; wound is a stratification, not a covariate"
12c_morph_hole_in_center_blme.rds,"Cauchy(0,2.5) prior","fixef.prior = t(scale=2.5, df=1)",Gelman 2008 separation-fix default,PASS,Prior addresses the morphology separation issue
12c_morph_new_corallites_on_tip_blme.rds,fixed structure,y ~ treatment * day * thicket + (1 | tank) + (1 | id),treatment * day * thicket (wound dropped — wounded-only),PASS,"Restricted to wounded corals; wound is a stratification, not a covariate"
12c_morph_new_corallites_on_tip_blme.rds,"Cauchy(0,2.5) prior","fixef.prior = t(scale=2.5, df=1)",Gelman 2008 separation-fix default,PASS,Prior addresses the morphology separation issue
12c_morph_pigment_over_wound_blme.rds,fixed structure,y ~ treatment * day_z * thicket + (1 | tank) + (1 | id),treatment * day * thicket (wound dropped — wounded-only),FAIL,"Restricted to wounded corals; wound is a stratification, not a covariate"
12c_morph_pigment_over_wound_blme.rds,"Cauchy(0,2.5) prior","fixef.prior = t(scale=2.5, df=1)",Gelman 2008 separation-fix default,PASS,Prior addresses the morphology separation issue
12c_morph_polyps_out_blme.rds,fixed structure,y ~ treatment * day_z * thicket + (1 | tank) + (1 | id),treatment * day * thicket (wound dropped — wounded-only),FAIL,"Restricted to wounded corals; wound is a stratification, not a covariate"
12c_morph_polyps_out_blme.rds,"Cauchy(0,2.5) prior","fixef.prior = t(scale=2.5, df=1)",Gelman 2008 separation-fix default,PASS,Prior addresses the morphology separation issue
12c_morph_tip_exist_blme.rds,fixed structure,y ~ treatment * day_z * thicket + (1 | tank) + (1 | id),treatment * day * thicket (wound dropped — wounded-only),FAIL,"Restricted to wounded corals; wound is a stratification, not a covariate"
12c_morph_tip_exist_blme.rds,"Cauchy(0,2.5) prior","fixef.prior = t(scale=2.5, df=1)",Gelman 2008 separation-fix default,PASS,Prior addresses the morphology separation issue
12c_morph_tip_extension_blme.rds,fixed structure,y ~ treatment * day_z * thicket + (1 | tank) + (1 | id),treatment * day * thicket (wound dropped — wounded-only),FAIL,"Restricted to wounded corals; wound is a stratification, not a covariate"
12c_morph_tip_extension_blme.rds,"Cauchy(0,2.5) prior","fixef.prior = t(scale=2.5, df=1)",Gelman 2008 separation-fix default,PASS,Prior addresses the morphology separation issue
12c_morph_wound_smoothed_blme.rds,fixed structure,y ~ treatment * day * thicket + (1 | tank),treatment * day * thicket (wound dropped — wounded-only),PASS,"Restricted to wounded corals; wound is a stratification, not a covariate"
12c_morph_wound_smoothed_blme.rds,"Cauchy(0,2.5) prior","fixef.prior = t(scale=2.5, df=1)",Gelman 2008 separation-fix default,PASS,Prior addresses the morphology separation issue
14_cox_*,stratification,strata = thicket in overall model,thicket as strata (allows different baseline hazard per genet),PASS,Per-genet HRs in separate per-genet models (low EPV caveat in Section 10)
14_cox_*,wounded-only at risk,filter(wound == 'yes') applied,yes — only wounded corals can express healing traits,PASS,Confirmed in script 14
15_pca,centering + scaling,"prcomp(..., center=TRUE, scale.=TRUE)","required because units differ (Fv/Fm, D-scale, %, log-cells)",PASS,Confirmed in script 15
