effect,term,estimate,std.error,statistic,p.value,trait,n
fixed,(Intercept),1.5666539030244042,0.8042025964671264,1.9480836171217766,0.051404958766631106,polyps_out,384
fixed,treatment31C,0.9759925907487264,1.093712950053182,0.8923663111982615,0.37219662210964316,polyps_out,384
fixed,day,0.20379962391321244,0.1392986357903251,1.4630410610766889,0.1434561437146135,polyps_out,384
fixed,thicketc,-1.3194712259227461e-5,1.117616057066449,-1.1806122662429639e-5,0.9999905800770049,polyps_out,384
fixed,thicketd,-4.461938272226564e-5,1.1176172696960214,-3.9923669696336727e-5,0.9999681455203472,polyps_out,384
fixed,treatment31C:day,-0.373913558617928,0.15694908193761456,-2.3823876763201097,0.017200778549833894,polyps_out,384
fixed,treatment31C:thicketc,-1.036535430789913,1.5245196964637435,-0.679909504084629,0.49656176340012936,polyps_out,384
fixed,treatment31C:thicketd,-0.6485251794068736,1.4841325908200589,-0.43697253427237953,0.6621312669401049,polyps_out,384
fixed,day:thicketc,8.749651782441134e-7,0.1969898055389366,4.441677455593861e-6,0.9999964560541341,polyps_out,384
fixed,day:thicketd,5.019160935841449e-6,0.19699012381257064,2.5479251643178867e-5,0.9999796704984953,polyps_out,384
fixed,treatment31C:day:thicketc,0.33429997079205415,0.2402893226961194,1.3912393902529943,0.16415284622060974,polyps_out,384
fixed,treatment31C:day:thicketd,0.10694879348051219,0.22091929289221812,0.4841079838721476,0.6283092354619456,polyps_out,384
fixed,(Intercept),-60.179970113174704,19895.249029366332,-0.0030248412585510346,0.9975865295413308,hole_in_center,384
fixed,treatment31C,-0.21088240590902066,27108.85096556335,-7.779097910749029e-6,0.9999937931778801,hole_in_center,384
fixed,day,20.055906139248435,6631.749661178847,0.003024225455410712,0.9975870208789016,hole_in_center,384
fixed,thicketc,56.715144505613004,19895.249037928013,0.002850687839970843,0.9977254832654326,hole_in_center,384
fixed,thicketd,53.982640988264656,19895.249126765066,0.0027133433034342777,0.9978350679264876,hole_in_center,384
fixed,treatment31C:day,0.532252090056496,9036.28368601876,5.890165786627684e-5,0.99995300327661,hole_in_center,384
fixed,treatment31C:thicketc,0.5628130269548005,27108.85097475787,2.076122766984326e-5,0.99998343493698,hole_in_center,384
fixed,treatment31C:thicketd,-54.01603954547633,33853.41592916092,-0.001595586089702327,0.9987269070337882,hole_in_center,384
fixed,day:thicketc,-19.23297452383962,6631.749662143074,-0.0029001357867336043,0.9976860296752527,hole_in_center,384
fixed,day:thicketd,-18.284932356702008,6631.749683513424,-0.002757180718409574,0.9978000908607396,hole_in_center,384
fixed,treatment31C:day:thicketc,-0.5653589096967712,9036.283686561705,-6.256542283389617e-5,0.9999500800151133,hole_in_center,384
fixed,treatment31C:day:thicketd,17.825756218223358,11284.471984775,0.001579671272370905,0.9987396052048215,hole_in_center,384
fixed,(Intercept),-60.179970113174704,19895.249029366332,-0.0030248412585510346,0.9975865295413308,polyp_in_hole,384
fixed,treatment31C,-0.21088240590902066,27108.85096556335,-7.779097910749029e-6,0.9999937931778801,polyp_in_hole,384
fixed,day,20.055906139248435,6631.749661178847,0.003024225455410712,0.9975870208789016,polyp_in_hole,384
fixed,thicketc,56.715144505613004,19895.249037928013,0.002850687839970843,0.9977254832654326,polyp_in_hole,384
fixed,thicketd,53.982640988264656,19895.249126765066,0.0027133433034342777,0.9978350679264876,polyp_in_hole,384
fixed,treatment31C:day,0.532252090056496,9036.28368601876,5.890165786627684e-5,0.99995300327661,polyp_in_hole,384
fixed,treatment31C:thicketc,0.5628130269548005,27108.85097475787,2.076122766984326e-5,0.99998343493698,polyp_in_hole,384
fixed,treatment31C:thicketd,-54.01603954547633,33853.41592916092,-0.001595586089702327,0.9987269070337882,polyp_in_hole,384
fixed,day:thicketc,-19.23297452383962,6631.749662143074,-0.0029001357867336043,0.9976860296752527,polyp_in_hole,384
fixed,day:thicketd,-18.284932356702008,6631.749683513424,-0.002757180718409574,0.9978000908607396,polyp_in_hole,384
fixed,treatment31C:day:thicketc,-0.5653589096967712,9036.283686561705,-6.256542283389617e-5,0.9999500800151133,polyp_in_hole,384
fixed,treatment31C:day:thicketd,17.825756218223358,11284.471984775,0.001579671272370905,0.9987396052048215,polyp_in_hole,384
fixed,(Intercept),-9.702865379356618,4.149696185545719,-2.338211026906928,0.019376303769283423,wound_smoothed,384
fixed,treatment31C,-0.15920152634926613,5.967130869749623,-0.026679744390447086,0.9787151690161741,wound_smoothed,384
fixed,day,2.4257212371140318,1.0136410527387834,2.393077145563424,0.016707727681554443,wound_smoothed,384
fixed,thicketc,9.179339630158617e-6,5.807811000048879,1.580516244430365e-6,0.9999987389304905,wound_smoothed,384
fixed,thicketd,0.39349861507137013,5.474284006135686,0.0718812934495779,0.9426963771989539,wound_smoothed,384
fixed,treatment31C:day,0.040010653408275594,1.4581333685653817,0.027439639110406616,0.9781090827028409,wound_smoothed,384
fixed,treatment31C:thicketc,-129.68771280521108,50301.626105826326,-0.0025782012003423014,0.9979428953465744,wound_smoothed,384
fixed,treatment31C:thicketd,-130.00231042834906,53884.85710566466,-0.0024125945100573077,0.9980750299563651,wound_smoothed,384
fixed,day:thicketc,-2.3004344852009442e-06,1.425668294128407,-1.6135832540256724e-6,0.999998712546834,wound_smoothed,384
fixed,day:thicketd,-0.35696485591682864,1.279788055654968,-0.27892497850680575,0.7803023988903134,wound_smoothed,384
fixed,treatment31C:day:thicketc,37.462838793929905,14597.904714494609,0.0025663161615743493,0.9979523782041401,wound_smoothed,384
fixed,treatment31C:day:thicketd,37.62042799460748,14431.286252018674,0.0026068658979961036,0.997920024303738,wound_smoothed,384
fixed,(Intercept),-25.53751298427891,82279.52418718938,-3.103750688467764e-4,0.999752356528485,pigment_over_wound,361
fixed,treatment31C,24.133558207925297,82279.52419066353,2.9331183481325713e-4,0.9997659710188574,pigment_over_wound,361
fixed,day,0.006206343487856701,9233.41839216025,6.721609727039202e-7,0.9999994636931375,pigment_over_wound,361
fixed,thicketc,16.47536077050607,82279.52428864405,2.0023646117239336e-4,0.9998402344201883,pigment_over_wound,361
fixed,thicketd,24.012179736386337,82279.52419073445,2.918366382469961e-4,0.9997671480553714,pigment_over_wound,361
fixed,treatment31C:day,-0.18724216405787697,9233.418392987669,-2.02787479228796e-5,0.9999838199001211,pigment_over_wound,361
fixed,treatment31C:thicketc,-572.9557615940867,204094.68263965877,-0.002807303718959077,0.9977600986472518,pigment_over_wound,361
fixed,treatment31C:thicketd,-48.097254078814615,115496.85520589487,-4.1643778086487474e-4,0.9996677307337166,pigment_over_wound,361
fixed,day:thicketc,0.5605490094237107,9233.418397202857,6.070871970813341e-5,0.9999515614498685,pigment_over_wound,361
fixed,day:thicketd,-0.21790752095672858,9233.418393319249,-2.359987511390077e-5,0.9999811700240115,pigment_over_wound,361
fixed,treatment31C:day:thicketc,38.16208566686732,16125.230604755645,0.002366607126574213,0.9981117224748739,pigment_over_wound,361
fixed,treatment31C:day:thicketd,0.3993802384434266,13042.931660741553,3.062043479423705e-5,0.9999755684278364,pigment_over_wound,361
fixed,(Intercept),-220.71512944204798,49227.204995225715,-0.0044836006729095015,0.9964226162321147,tip_exist,384
fixed,treatment31C,207.07011633456545,49227.205273404354,0.004206416252649585,0.9966437753131753,tip_exist,384
fixed,day,40.18237754122652,8828.200533088922,0.0045515932030111015,0.9963683665956918,tip_exist,384
fixed,thicketc,215.14431882438691,49227.20492721465,0.004370435395275653,0.9965129081751124,tip_exist,384
fixed,thicketd,0.1271782082871778,69749.12017427883,1.823366487912731e-6,0.9999985451640306,tip_exist,384
fixed,treatment31C:day,-38.08315375194486,8828.200568385266,-0.004313807038812046,0.9965580906404948,tip_exist,384
fixed,treatment31C:thicketc,-210.8502060024343,49227.205280625916,-0.004283204882350238,0.9965825074030848,tip_exist,384
fixed,treatment31C:thicketd,10.307610937677223,69749.12036941032,1.4778123197949037e-4,0.9998820876370563,tip_exist,384
fixed,day:thicketc,-39.55469730926339,8828.200524867087,-0.004480493753834268,0.996425095169977,tip_exist,384
fixed,day:thicketd,-0.03825705182093889,12463.907599094464,-3.0694267842388662e-6,0.9999975509517584,tip_exist,384
fixed,treatment31C:day:thicketc,38.84080502526783,8828.200569600127,0.00439962874869608,0.996489615473084,tip_exist,384
fixed,treatment31C:day:thicketd,-1.6487128972896614,12463.90762425453,-1.322789727742604e-4,0.9998944566502124,tip_exist,384
fixed,(Intercept),-340.2643223393943,105026.89717832154,-0.003239782679304248,0.9974150319418809,tip_extension,384
fixed,treatment31C,335.5588200157835,105026.8971921094,0.0031949798478955144,0.9974507792443188,tip_extension,384
fixed,day,45.57415031025553,14186.201141181004,0.003212569020888807,0.9974367451867745,tip_extension,384
fixed,thicketc,330.0993862787523,105026.8969424302,0.003142998564069679,0.9974922540998734,tip_extension,384
fixed,thicketd,0.07566442806181052,163359.2647720018,4.631780644177989e-7,0.9999996304373735,tip_extension,384
fixed,treatment31C:day,-45.07039265841963,14186.201141667485,-0.003177058622553968,0.9974650782407566,tip_extension,384
fixed,treatment31C:thicketc,-332.3927907527737,105026.89696338687,-0.0031648349171798174,0.9974748312975171,tip_extension,384
fixed,treatment31C:thicketd,0.5007615093265643,163359.26477892703,3.0654001167564105e-6,0.9999975541645741,tip_extension,384
fixed,day:thicketc,-44.523897532433416,14186.2011161505,-0.003138535621192096,0.9974958149955281,tip_extension,384
fixed,day:thicketd,0.08789026436767493,22556.542433123097,3.896442224168749e-6,0.9999968910889073,tip_extension,384
fixed,treatment31C:day:thicketc,44.63393670305513,14186.201117522305,0.003146292395920204,0.9974896260152883,tip_extension,384
fixed,treatment31C:day:thicketd,-0.2516078272134332,22556.542433625018,-1.1154538775338265e-5,0.9999910999657284,tip_extension,384
fixed,(Intercept),-473.85200547997783,241784.53688623276,-0.00195981104326345,0.9984362980274825,new_corallites_on_tip,384
fixed,treatment31C,447.06507485532615,285617.42102759,0.0015652584259282303,0.9987511049782578,new_corallites_on_tip,384
fixed,day,41.22022149748225,21170.13283602521,0.0019470931909949007,0.998446445386093,new_corallites_on_tip,384
fixed,thicketc,451.09547771309076,241784.53704915722,0.0018656920050324744,0.998511394017563,new_corallites_on_tip,384
fixed,thicketd,0.13688327560757,341383.16229901474,4.009666870672287e-7,0.999999680074871,new_corallites_on_tip,384
fixed,treatment31C:day,-41.206439273540155,27025.036266743085,-0.0015247505633969732,0.9987834255377852,new_corallites_on_tip,384
fixed,treatment31C:thicketc,-454.60506716451914,285617.42150493385,-0.0015916573462822405,0.998730041713526,new_corallites_on_tip,384
fixed,treatment31C:thicketd,17.182624431945474,373707.9588687669,4.597874897810086e-5,0.9999633142660783,new_corallites_on_tip,384
fixed,day:thicketc,-39.504293735251174,21170.13284663856,-0.0018660390098366223,0.9985111171482691,new_corallites_on_tip,384
fixed,day:thicketd,-0.012050837761921862,29889.68971003002,-4.0317707807712667e-7,0.9999996783112342,new_corallites_on_tip,384
fixed,treatment31C:day:thicketc,41.652024189139446,27025.03629346353,0.0015412384182149537,0.9987702701484433,new_corallites_on_tip,384
fixed,treatment31C:day:thicketd,0.5936976921138737,34286.372883122545,1.7315850064913723e-5,0.9999861839505767,new_corallites_on_tip,384
