trait,treatment,thicket,n_corals,n_events,median_day,iqr_low,iqr_high
hole_in_center,28C,a,4,4,3.5,3,4
hole_in_center,28C,c,4,4,3.5,3,5.25
hole_in_center,28C,d,4,4,3.5,3,4.5
hole_in_center,31C,a,4,4,3,3,3.25
hole_in_center,31C,c,4,4,3,3,4.5
hole_in_center,31C,d,4,4,3.5,3,4
new_corallites_on_tip,28C,a,4,4,12,12,12
new_corallites_on_tip,28C,c,4,4,14,13.5,14.25
new_corallites_on_tip,28C,d,4,4,12,12,12
new_corallites_on_tip,31C,a,4,0,NA,NA,NA
new_corallites_on_tip,31C,c,4,3,14,14,14
new_corallites_on_tip,31C,d,4,1,12,12,12
pigment_over_wound,28C,a,4,0,NA,NA,NA
pigment_over_wound,28C,c,4,1,12,12,12
pigment_over_wound,28C,d,4,3,3,3,3.5
pigment_over_wound,31C,a,4,2,3.5,3.25,3.75
pigment_over_wound,31C,c,4,4,15,15,15
pigment_over_wound,31C,d,4,0,NA,NA,NA
tip_exist,28C,a,4,4,6,6,6
tip_exist,28C,c,4,4,8,7.5,8
tip_exist,28C,d,4,4,6,6,6
tip_exist,31C,a,4,4,7,6,8
tip_exist,31C,c,4,4,7,6,8
tip_exist,31C,d,4,4,6,6,6.5
tip_extension,28C,a,4,4,8,8,8
tip_extension,28C,c,4,3,8,8,8
tip_extension,28C,d,4,4,8,8,8
tip_extension,31C,a,4,4,8,8,8
tip_extension,31C,c,4,4,12,9.5,14.25
tip_extension,31C,d,4,3,8,8,8
wound_smoothed,28C,a,4,4,4,4,4.5
wound_smoothed,28C,c,4,4,4,4,4.5
wound_smoothed,28C,d,4,4,5,4,6
wound_smoothed,31C,a,4,4,4,4,4.5
wound_smoothed,31C,c,4,4,4,4,4
wound_smoothed,31C,d,4,4,4,4,4
